Customer_Satisfaction,Customer_Loyalty_Score,Annual_Spending_USD,Visits_Per_Month,Cluster
3.403025713278926,-2.234182620481663,133.5111701990212,3.9134737320174064,Low Value Customers
8.430103922359903,1.414093123905288,1130.00167453138,11.16290779134064,High Value Customers
6.515294321624467,-0.3005690860207748,762.0916080056547,9.141014416709032,Regular Customers
5.419351697446049,-0.1668311484331769,488.8466952063694,7.5209961559565,Regular Customers
5.116833775529955,-0.6881502981535723,120.73473044365888,4.890440685155783,Low Value Customers
4.049308331520223,-0.338696194418662,125.67093970220964,3.363115627744524,Low Value Customers
4.311109991143195,-1.933789575257692,230.6110044184256,4.290644460922547,Low Value Customers
7.68224374708321,0.6488651297720722,1286.890403450888,15.260093098243187,High Value Customers
6.355668948563229,0.3149464377164538,560.7489187167112,10.894611398783614,Regular Customers
6.568103205128646,-0.4297932993459646,663.5075423254942,11.281229126976577,Regular Customers
7.152056734512085,-1.4740964199437587,159.715280526011,0.9179012968110128,Low Value Customers
6.648653569626191,0.96436812964874,706.1280571957157,17.25329836352193,High Value Customers
1.9349169537436797,-0.7829254512901047,66.88752720575212,2.679702195463358,Low Value Customers
5.643378155804534,-0.583611265138523,115.46025580140264,2.968796511060916,Low Value Customers
4.018016872044447,-0.5164217924939567,95.32566546876694,3.5925672738473304,Low Value Customers
1.2956083683972248,-1.1779307314182863,130.46904630193822,3.6333268260712384,Low Value Customers
6.022630852676869,-0.643337832313772,381.8008249019582,8.397360019094814,Regular Customers
5.920932658135444,-0.1474744657814478,442.2999452585625,9.39233599431858,Regular Customers
3.482307427130785,-0.852854746417444,236.7974635232217,1.576317363116077,Low Value Customers
4.148157268425342,0.6701537988791639,418.5628326447076,7.36352494451476,Regular Customers
3.218843621868886,-0.9558800844605077,213.94152448385364,3.802128458618119,Low Value Customers
4.862223511886977,-1.6497362334755872,103.95385053788524,0.160921340514573,Low Value Customers
3.1906191789172462,-0.2259780881686049,170.67786062993483,2.778486737047876,Low Value Customers
5.977699716281947,-0.2133313255452433,524.5710658882141,9.531756558961227,Regular Customers
6.707290570071621,1.349823843918674,1433.1087177386669,13.754699133109892,High Value Customers
4.700700612120584,0.8887926666835317,145.82628828052432,3.3933070500053235,Regular Customers
5.261942916338608,0.3087506975612302,555.2325949978765,8.389684680540276,Regular Customers
4.980304680291143,0.3238170627952704,675.4635126461164,8.897271529029055,Regular Customers
4.961987189071841,-0.9422071820075768,179.9960095769484,3.279267838216526,Low Value Customers
5.049089270312768,0.3911126028793247,380.99640038716274,6.734239450230416,Regular Customers
4.189328307292374,-0.6216534359719257,102.43070139691484,4.053985771182877,Low Value Customers
4.5720062783004725,-1.2228370613665305,88.49660814203298,2.855095420918569,Low Value Customers
7.643245028911072,1.2565702285265117,1109.2208347111084,8.97762941776497,High Value Customers
7.689322449359073,1.0471904444658435,1358.4152561935148,12.90540097616685,High Value Customers
9.342939738698051,0.2441797246741214,1527.791874450656,14.327043087365686,High Value Customers
4.859584872343556,-0.7521191095647601,195.5822214410188,2.6126380354471888,Low Value Customers
2.901379574822188,0.0523025723626378,145.46077416471437,3.2215584736242104,Low Value Customers
7.234751914044795,-0.4191731452566609,571.4589077167109,6.820210487074219,Regular Customers
5.867830644355628,0.2433673792305733,319.97337662636767,6.442325914359131,Regular Customers
5.351072892413139,-0.2682852868491227,147.4944169069106,3.243123458512893,Low Value Customers
5.705757494363542,1.0139500314967893,475.9576906647004,8.463684184269695,Regular Customers
5.146030144142065,-1.266422890907544,212.35156737987572,1.4695385902566231,Low Value Customers
9.30371370489024,1.0136622080240127,1139.3253130436797,9.329969486451173,High Value Customers
3.545205282622307,-1.4238839186161307,125.6941461850611,2.86268903421112,Low Value Customers
6.957791614472906,0.3245620108403755,536.9211984081337,5.808961222308875,Regular Customers
3.11924591039727,0.279235011010787,120.59195860947014,4.656208252057295,Low Value Customers
5.756938801119134,0.2013727616861024,628.4438192275916,10.543784843877312,Regular Customers
5.889187439720913,-0.0329458321129232,493.2895461773344,8.675915056464236,Regular Customers
4.891303686869756,-0.7974620846035091,174.7554519209261,4.638359732270941,Low Value Customers
8.305047689811827,1.355826428002389,820.272293727483,7.10780958951281,High Value Customers
8.310700583384135,1.1525878843595638,1071.3043312713146,15.730590612559034,High Value Customers
7.951677016642473,1.7638901253169492,1221.5277170647444,12.759230144789498,High Value Customers
8.792132991167431,1.0914344625268988,1331.6341709180767,13.5677678814216,High Value Customers
